time_s,scan_period_s,conveyor_motor,motor_feedback,state,mode,fault_id
14.65,0.05,True,True,CONVEYING,AUTOMATIC,
14.7,0.05,True,True,CONVEYING,AUTOMATIC,
14.75,0.05,True,True,CONVEYING,AUTOMATIC,
14.8,0.05,True,True,CONVEYING,AUTOMATIC,
14.85,0.05,True,True,CONVEYING,AUTOMATIC,
14.9,0.05,True,True,CONVEYING,AUTOMATIC,
14.95,0.05,True,True,CONVEYING,AUTOMATIC,
15.0,0.05,True,True,CONVEYING,AUTOMATIC,
15.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
15.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
16.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
17.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
